ID_MAQUINA,MAQUINA_TXT,MAQUINA_TIPO,total_horas,dias_activos,ultimo_reporte,total_reportes,promedio_horas_dia
m000052,CF-05 CLINTON LW 300 F,CARGADOR FRONTAL,73,12,2025-12-15,12,6.08
ade41e9b,RN-01 VHRZ34,RODILLO NEUMATICO,72,40,2026-03-14,42,1.8
m000050,CF-03 NEW HOLAND W 190B,CARGADOR FRONTAL,69,12,2025-12-13,12,5.75
aa67222b,EX-10 KOMATSU PC300LC-8,EXCAVADORA,67,9,2025-12-11,9,7.44
1c3365b8,CT-21 BFTP65,CAMION TOLVA,67,11,2026-02-03,14,6.09
m000063,EX-11 KOMATSU PC200LC-8MO,EXCAVADORA,64,8,2025-12-09,8,8.0
2b751702,EX-12 JOHN DEERE 350G,EXCAVADORA,60,10,2025-12-12,10,6.0
m000094,MC-04,MINI-CARGADOR,59,23,2026-03-26,23,2.57
29b79e17,T-06 VDYH39,TRACTOR,57,11,2026-02-10,11,5.18
d4634a09,RL-01 VHRZ35,RODILLO LISO,57,48,2026-03-26,49,1.19
m000003,TC-01 ZW5118,TRACTO CAMION,53,10,2026-03-19,13,5.3
16463019,MN-04 YF5586-4 VOLVO G730B,MOTO NIVELADORA,52,17,2026-03-18,20,3.06
m000081,P-04 POWERSREEN CRUSHER,SELECCIONADORA,49,13,2025-12-15,13,3.77
m000105,C-36 GBPD93,CAMIONETA,43,2,2026-02-24,2,21.5
m000088,RX-06 GYXY36,RETROEXCAVADORA,37,6,2026-01-16,6,6.17
m000076,MX-02 HWFT99,MINI- EXCAVADORA,36,8,2026-03-17,8,4.5
e758af11,RC-02 HAMM,RODILLO COMPACTADOR,36,8,2025-12-10,8,4.5
2115423d,GM-04 TEREX RT-345-1 XL,GRUA MOVIL,34,8,2025-12-08,8,4.25
m000053,CF-06 JOHN DEERE 624K-II,CARGADOR FRONTAL,32,9,2025-12-15,9,3.56
m000091,T-02 HLZF62-8 SAME EXPLORER 95,TRACTOR,31,4,2025-12-27,5,7.75
m000090,T-01,TRACTOR,30,3,2026-01-09,3,10.0
m000091,T-02 HLZF62,TRACTOR,26,4,2026-01-04,4,6.5
m000085,RX-03 FPLK20-K JCB 3 C 4X4 TURBO,RETROEXCAVADORA,25,4,2025-12-15,4,6.25
e37ab4ad,TC-04 PBYH10,TRACTO CAMION,25,2,2026-03-27,2,12.5
m000071,MC-03 YALE TOYOTA,GRUA HORQUILLA,24,6,2025-12-09,7,4.0
1aba966d,GV-01 GRAVILLADORA ETNYRE,MAQUINARIA ASFALTICA,23,15,2025-12-19,15,1.53
m000087,RX-05 GYXY37-3 NEW HOLAND B90B 4X4,RETROEXCAVADORA,21,4,2025-12-09,4,5.25
m000088,RX-06 GYXY36-5 NEW HOLAND B90B 4X4,RETROEXCAVADORA,20,5,2025-12-06,5,4.0
m000067,EX-15 KOMATSU PC210 LC,EXCAVADORA,20,3,2025-12-03,3,6.67
m000058,EX-06 JCB JS 330 LC AUTO,EXCAVADORA,19,5,2025-12-10,5,3.8
m000084,RX-02 BGDW56-7 JONH DEERE 310 J,RETROEXCAVADORA,19,4,2025-12-11,4,4.75
4fffdb5b,RX-09 JOHN DEERE,RETROEXCAVADORA,18,2,2026-03-19,2,9.0
29b79e17,T-06 VDYH39 CASE PUMA 155,TRACTOR,18,5,2026-01-25,5,3.6
m000007,CG-02 GGBJ29,CAMION GANADERO,17,2,2026-02-10,2,8.5
500ca11b,CT-26 WH9820-0,TOLVA,16,3,2025-12-03,4,5.33
a6bba3ae,C-46 RXKR45,CAMIONETA,15,2,2026-02-16,2,7.5
1aba966d,GV-01 VHRZ33,MAQUINARIA ASFALTICA,11,3,2026-03-28,3,3.67
m000093,T-04 SHRB11-1 CASE MAXXUM 125 DT,TRACTOR,11,2,2026-01-05,2,5.5
m000056,EX-03 JCB JS 200 LC,EXCAVADORA,9,3,2025-12-03,3,3.0
m000076,MX-02 WACKER NEUSON 3503,MINI- EXCAVADORA,8,2,2025-12-05,2,4.0
9fd5bea4,CT-28 WH9822-7,TOLVA,8,40,2026-03-14,40,0.2
