ID_MAQUINA,total_litros,num_recargas,promedio_litros_recarga,ultima_recarga,MAQUINA,TIPO_MAQUINA
m000113,603.0,13,46.4,2026-03-27 08:09:06.624,"[C-16 KPGT70] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA
70eb727f,596.0,5,119.2,2026-03-27 11:47:22.272,[CK-03 TS2119] - CHEVROLET KODIAK 241,CAMION GANADERO
m000013,589.0,5,117.8,2026-01-30 08:51:06.912,[CP-06 DJBD80] - SINOTRUCK CG 190,CAMION PLUMA
ade41e9b,520.0,6,86.7,2026-03-11 14:42:01.728,[RN-01 VHRZ34] - AMMANN AP 240,RODILLO NEUMATICO
e37ab4ad,505.0,2,252.5,2026-03-30 08:54:04.032,[TC-04 PBYH10] - MERCEDEZ BENZ NEW ACTROS 3352,TRACTO CAMION
m000130,499.0,6,83.2,2026-03-24 12:48:23.904,"[C-31  GLLL86] - DODGE RAM1500 4X4 3,0CC AUTOMATICA",CAMIONETA
m000094,496.0,22,22.5,2026-03-26 14:45:17.856,[MC-04] - BOBCAT S185,MINI-CARGADOR
m000117,480.0,11,43.6,2026-03-23 08:22:18.048,"[C-17 KPGT74] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA
m000079,468.0,2,234.0,2026-01-15 09:35:58.272,[P-02] - POWERSREEN TURBO CHIEFTAIN 1400,SELECCIONADORA 
m000092,432.0,6,72.0,2026-03-27 11:20:34.368,[T-03 HKVR32] - MASSEY FERGUSON 4292T4K,TRACTOR
m000125,423.0,9,47.0,2026-03-28 12:39:56.736,"[C-25  RHDY49] - MAXUS T60 DX 4X4 DCAB 2,8CC",CAMIONETA
a6bba3ae,409.6,7,58.5,2026-02-10 13:49:34.176,[C-46 RXKR45] - JMC ,CAMIONETA
m000088,399.0,6,66.5,2026-01-16 16:50:28.608,[RX-06 GYXY36] - NEW HOLAND B90B 4X4,RETROEXCAVADORA
m000007,383.0,3,127.7,2026-03-27 08:56:50.784,[CG-02 GGBJ29] - FOTON AUMARK 1117,CAMION GANADERO
604a3673,375.0,13,28.8,2026-03-29 15:10:23.808,[G-05] - KOLVOC 16KVA,EQUIPO MENOR
m000127,353.0,11,32.1,2026-03-30 10:03:57.024,"[C-27 RTXW59] - GEAT WALL WNGLE 7  2,0T  D 4X4 ELITE",CAMIONETA
m000102,327.3,5,65.5,2026-03-14 08:11:47.328,"[C-02 FBWJ56] - NISSAN TERRANO 4X4 2,5cc DOB CAB",CAMIONETA
883e13bb,313.8,9,34.9,2026-03-18 10:29:41.856,[T-05 DONGFENG DF404] - DONGFENG DF404,TRACTOR
d4634a09,310.0,6,51.7,2026-03-11 14:35:50.208,[RL-01 VHRZ35] - AMMANN AV 70X,RODILLO LISO
m000105,310.0,10,31.0,2026-03-25 13:08:30.912,"[C-36 GBPD93] - ZNA RICH 4X2 2,5cc DOB CAB",CAMIONETA
1aba966d,301.0,5,60.2,2026-03-13 14:45:40.320,[GV-01 VHRZ33] - ETNYRE ,MAQUINARIA ASFALTICA
9d2018bd,236.0,1,236.0,2026-01-13 11:09:41.184,[CT-24 BDYC87-k] - MACK GU 813,TOLVA
m000090,230.2,4,57.6,2026-01-09 10:03:36.288,[T-01] - MASSEY FERGUSON 299,TRACTOR
8fda5167,215.0,1,215.0,2026-03-27 11:26:28.608,[CS-01 GDRK79] - MACK GU,CAMION SLURRY
500ca11b,215.0,1,215.0,2025-12-01 08:15:30.240,[CT-26 WH9820-0] - MACK CV713,TOLVA
6dd1b12b,183.8,5,36.8,2026-02-03 10:47:10.752,[EQUIPO MENOR BARREDORA BROCE BW260] - BROCE] -  ,EQUIPO MENOR
aaf370e6,182.0,5,36.4,2026-03-28 11:34:35.904,[G-04] - TOYAMA 33KVA,EQUIPO MENOR
m000115,175.0,5,35.0,2026-03-30 08:51:19.008,"[C-15 KPGT72] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA
m000076,163.8,5,32.8,2026-03-19 10:22:59.232,[MX-02 HWFT99] - WACKER NEUSON 3503,MINI- EXCAVADORA
m000112,137.0,4,34.2,2026-03-27 10:21:52.704,"[C-12 JZRK53] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA
b5f0fa95,115.0,2,57.5,2026-03-13 09:17:13.344,[C-55] - MAXUS T60 SC 4X4 DV PLUS 6MT E6,CAMIONETA
m000006,88.0,1,88.0,2026-02-24 12:27:24.192,[CG-01  YX4975] - MITSUBUSHI CANTER 3.9,CAMION GANADERO
8ec7dcac,77.0,2,38.5,2026-03-28 11:36:40.320,[G-09] - GH POWER 22KVA,EQUIPO MENOR
m000132,66.0,1,66.0,2025-12-12 15:33:38.304,[C-33  RXKR45] - JMC VIGUS WOR 4X4,CAMIONETA
c56308f2,61.0,1,61.0,2026-01-21 18:23:53.376,[EXT-10 MOTONIVELADORA CAT M12 EXTERNO CATERPILLAR M12] - CATERPILLAR M12,EXTERNO
m000121,51.0,1,51.0,2026-03-02 14:29:07.584,"[C-21 RCZX26] - MITSUBISHI L200 4X2, WORK CR WF 2,4CC",CAMIONETA
13ab1058,43.0,1,43.0,2026-01-16 17:35:15.648,[PF-01] - CRAWLER DRILL RIG,PERFORADORA
ca1f8e1a,42.0,1,42.0,2026-01-13 09:26:32.352,[C-48 TBFH29] - CHEVROLET ,CAMIONETA
