ID_MAQUINA,MAQUINA,TIPO_MAQUINA,ESTADO,ultimo_reporte,horas_sin_reporte,tipo_alerta,descripcion,umbral_horas,FECHA,LITROS,promedio_litros
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 401 L (promedio: 119 L),,2026-03-16 10:04:40.224,401.0,118.94988055861816
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 3500 L (promedio: 817 L),,2026-03-16 10:35:17.088,3500.0,816.9254901960784
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 350 L (promedio: 119 L),,2026-03-16 11:30:33.984,350.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 320 L (promedio: 119 L),,2026-03-16 12:21:48.096,320.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 339 L (promedio: 119 L),,2026-03-16 16:38:09.024,339.0,118.94988055861816
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 2690 L (promedio: 817 L),,2026-03-16 17:27:57.600,2690.0,816.9254901960784
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 305 L (promedio: 119 L),,2026-03-17 10:31:54.912,305.0,118.94988055861816
87eb0330,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 118 L (promedio: 38 L),,2026-03-17 11:16:29.856,118.0,38.42370892018779
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 3000 L (promedio: 817 L),,2026-03-17 11:45:55.008,3000.0,816.9254901960784
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 347 L (promedio: 119 L),,2026-03-17 17:59:51.360,347.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 348 L (promedio: 119 L),,2026-03-18 08:01:24.384,348.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 360 L (promedio: 119 L),,2026-03-18 16:00:53.856,360.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 307 L (promedio: 119 L),,2026-03-18 17:30:09.792,307.0,118.94988055861816
87eb0330,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 111 L (promedio: 38 L),,2026-03-20 09:36:51.840,111.0,38.42370892018779
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 305 L (promedio: 119 L),,2026-03-23 09:59:15.360,305.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 339 L (promedio: 119 L),,2026-03-23 12:21:16.128,339.0,118.94988055861816
m000040,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 324 L (promedio: 106 L),,2026-03-24 08:14:38.400,324.0,106.08571428571429
